codigo_ibge,municipio_nome,populacao_2022,total_casos_periodo,taxa_por_10k_hab,idhm_2010,pib_per_capita,indice_coleta_esgoto,indice_tratamento_esgoto
260750,ITAIBA,32650,4,1.225114854517611,0.51,10789.31,,
260760,ILHA DE ITAMARACA,24540,36,14.66992665036675,0.653,11051.57,,
260765,ITAMBE,34935,22,6.297409474738801,0.575,14321.34,,
260770,ITAPETIM,13791,10,7.2511057936335295,0.592,10367.12,,
260775,ITAPISSUMA,27749,8,2.882986774298173,0.633,87814.64,,
260780,ITAQUITINGA,16554,13,7.853086867222424,0.586,9431.09,,
260790,JABOATAO DOS GUARARAPES,644037,417,6.474783281084783,0.717,22680.83,,
260795,JAQUEIRA,10247,1,0.9758953840148336,0.575,9611.54,,
260800,JATAUBA,15843,12,7.574323044877864,0.53,8948.98,,
260805,JATOBA,14020,61,43.509272467903,0.645,10318.9,,
260810,JOAO ALFREDO,27725,16,5.770964833183048,0.576,9432.35,,
260820,JOAQUIM NABUCO,13269,6,4.521817770743839,0.554,11332.6,,
260825,JUCATI,11517,2,1.7365633411478685,0.55,11197.05,,
260830,JUPI,15329,1,0.6523582751647204,0.575,14274.96,,
260840,JUREMA,13648,1,0.7327080890973036,0.509,8579.73,,
260845,LAGOA DO CARRO,17981,1,0.5561425949613481,0.609,16313.12,,
260850,LAGOA DE ITAENGA,19003,2,1.0524654001999685,0.602,22468.99,,
260860,LAGOA DO OURO,11933,34,28.492415989273447,0.525,10467.9,,
260875,LAGOA GRANDE,24088,26,10.793756227167057,0.597,17510.3,,
260880,LAJEDO,39582,20,5.052801778586225,0.611,14323.21,,
260890,LIMOEIRO,56510,114,20.17342063351619,0.663,14930.68,,
260900,MACAPARANA,23879,79,33.083462456551786,0.609,11092.43,,
260910,MACHADOS,11333,4,3.52951557398747,0.578,13069.99,,
260915,MANARI,23763,16,6.733156587972899,0.487,6293.67,,
260920,MARAIAL,9359,9,9.61641200983011,0.534,8333.9,,
260930,MIRANDIBA,14166,38,26.82479175490612,0.591,10509.75,,
260940,MORENO,55292,258,46.66136149895102,0.652,13990.88,,
260950,NAZARE DA MATA,30648,11,3.5891412163925867,0.662,21071.46,,
260960,OLINDA,349976,279,7.971975221158022,0.735,14700.91,,
260970,OROBO,21808,25,11.463683052090976,0.61,16626.83,,
260980,OROCO,13613,6,4.407551605083376,0.61,12178.95,,
260990,OURICURI,65245,135,20.69124070810024,0.572,11076.44,,
261000,PALMARES,54584,39,7.144950901363037,0.622,14497.54,,
261020,PANELAS,22991,25,10.87382019050933,0.569,8682.82,,
261030,PARANATAMA,12199,13,10.65661119763915,0.537,24618.65,,
261040,PARNAMIRIM,18612,4,2.149151085321298,0.599,9604.04,,
261050,PASSIRA,28340,11,3.881439661256176,0.592,9167.82,,
261060,PAUDALHO,56665,295,52.06035471631519,0.639,16153.32,,
261070,PAULISTA,342167,271,7.920109186449892,0.732,16596.43,,
261080,PEDRA,22795,52,22.812020179864007,0.567,13488.22,,
261090,PESQUEIRA,62722,42,6.696215044163132,0.61,12776.4,,
261100,PETROLANDIA,34161,1,0.2927314774157665,0.623,44994.8,,
261110,PETROLINA,386791,1150,29.731818992685973,0.697,22244.46,,
261120,POCAO,10500,1,0.9523809523809524,0.528,9029.63,,
261130,POMBOS,27552,8,2.9036004645760745,0.598,19577.38,,
261140,PRIMAVERA,13838,6,4.335886688827865,0.58,19151.45,,
261150,QUIPAPA,17928,2,1.1155734047300312,0.552,7310.24,,
261153,QUIXABA,6554,3,4.5773573390296,0.577,9868.19,,
261160,RECIFE,1488920,2833,19.027214356714936,0.772,33094.37,,
261170,RIACHO DAS ALMAS,20639,17,8.236833179902128,0.57,12560.89,,
261180,RIBEIRAO,33507,2,0.5968902020473333,0.602,12055.44,,
261190,RIO FORMOSO,20009,152,75.96581538307763,0.613,16015.49,,
261200,SAIRE,10887,3,2.755580049600441,0.585,18356.8,,
261210,SALGADINHO,5727,3,5.238344683080147,0.534,7217.62,,
261220,SALGUEIRO,62372,174,27.89713332905791,0.669,16278.25,,
261230,SALOA,13836,3,2.168256721595837,0.559,10771.47,,
261240,SANHARO,18624,67,35.97508591065292,0.603,9091.27,,
261245,SANTA CRUZ,13841,17,12.28234954121812,0.549,8501.98,,
261247,SANTA CRUZ DA BAIXA VERDE,11567,1,0.864528399757932,0.612,8935.61,,
261250,SANTA CRUZ DO CAPIBARIBE,98254,98,9.974148635170067,0.648,17222.96,,
261255,SANTA FILOMENA,12106,2,1.6520733520568311,0.533,7636.03,,
261260,SANTA MARIA DA BOA VISTA,40578,1,0.2464389570703337,0.59,13344.05,,
261270,SANTA MARIA DO CAMBUCA,14013,1,0.7136230642974382,0.548,8545.0,,
